# rank15 plateau-suffix capacity ledger v1
# Every row is derived from the exact profile optimizer.
# t-columns are capacity:margin, with margin = capacity - 218*a; NA means t<W/lambda.
u	e	N	a	lambda	W	c0	t_min	t210	t211	t212	t213	t214	t215	t216	t217	t218	C	argmax_t	margin	classification
1043552	2417	1053600	72495	5023	1053510	-2850	210	15804000:90	15804000:90	15804000:90	15804000:90	15804000:90	15804000:90	15804000:90	15804000:90	15804000:90	15804000	210,211,212,213,214,215,216,217,218	90	RESIDUAL_M218
1043553	2416	1053599	72494	5022	1053306	-2836	210	15803985:293	15803985:293	15803985:293	15803985:293	15803985:293	15803985:293	15803985:293	15803985:293	15803985:293	15803985	210,211,212,213,214,215,216,217,218	293	RESIDUAL_M218
1043554	2415	1053598	72493	5021	1053102	-2822	210	15803970:496	15803970:496	15803970:496	15803970:496	15803970:496	15803970:496	15803970:496	15803970:496	15803970:496	15803970	210,211,212,213,214,215,216,217,218	496	RESIDUAL_M218
1043555	2414	1053597	72492	5020	1052898	-2808	210	15803955:699	15803955:699	15803955:699	15803955:699	15803955:699	15803955:699	15803955:699	15803955:699	15803955:699	15803955	210,211,212,213,214,215,216,217,218	699	RESIDUAL_M218
1043556	2413	1053596	72491	5019	1052694	-2794	210	15803940:902	15803940:902	15803940:902	15803940:902	15803940:902	15803940:902	15803940:902	15803940:902	15803940:902	15803940	210,211,212,213,214,215,216,217,218	902	RESIDUAL_M218
1043557	2412	1053595	72490	5018	1052490	-2780	210	15803925:1105	15803925:1105	15803925:1105	15803925:1105	15803925:1105	15803925:1105	15803925:1105	15803925:1105	15803925:1105	15803925	210,211,212,213,214,215,216,217,218	1105	RESIDUAL_M218
1043558	2411	1053594	72489	5017	1052286	-2766	210	15803886:1284	15803910:1308	15803910:1308	15803910:1308	15803910:1308	15803910:1308	15803910:1308	15803910:1308	15803910:1308	15803910	211,212,213,214,215,216,217,218	1308	RESIDUAL_M218
1043559	2410	1053593	72488	5016	1052082	-2752	210	15803662:1278	15803895:1511	15803895:1511	15803895:1511	15803895:1511	15803895:1511	15803895:1511	15803895:1511	15803895:1511	15803895	211,212,213,214,215,216,217,218	1511	RESIDUAL_M218
1043560	2409	1053592	72487	5015	1051878	-2738	210	15803438:1272	15803880:1714	15803880:1714	15803880:1714	15803880:1714	15803880:1714	15803880:1714	15803880:1714	15803880:1714	15803880	211,212,213,214,215,216,217,218	1714	RESIDUAL_M218
1043561	2408	1053591	72486	5014	1051674	-2724	210	15803214:1266	15803865:1917	15803865:1917	15803865:1917	15803865:1917	15803865:1917	15803865:1917	15803865:1917	15803865:1917	15803865	211,212,213,214,215,216,217,218	1917	RESIDUAL_M218
1043562	2407	1053590	72485	5013	1051470	-2710	210	15802990:1260	15803850:2120	15803850:2120	15803850:2120	15803850:2120	15803850:2120	15803850:2120	15803850:2120	15803850:2120	15803850	211,212,213,214,215,216,217,218	2120	RESIDUAL_M218
1043563	2406	1053589	72484	5012	1051266	-2696	210	15802766:1254	15803835:2323	15803835:2323	15803835:2323	15803835:2323	15803835:2323	15803835:2323	15803835:2323	15803835:2323	15803835	211,212,213,214,215,216,217,218	2323	RESIDUAL_M218
1043564	2405	1053588	72483	5011	1051062	-2682	210	15802542:1248	15803820:2526	15803820:2526	15803820:2526	15803820:2526	15803820:2526	15803820:2526	15803820:2526	15803820:2526	15803820	211,212,213,214,215,216,217,218	2526	RESIDUAL_M218
1043565	2404	1053587	72482	5010	1050858	-2668	210	15802318:1242	15803805:2729	15803805:2729	15803805:2729	15803805:2729	15803805:2729	15803805:2729	15803805:2729	15803805:2729	15803805	211,212,213,214,215,216,217,218	2729	RESIDUAL_M218
1043566	2403	1053586	72481	5009	1050654	-2654	210	15802094:1236	15803790:2932	15803790:2932	15803790:2932	15803790:2932	15803790:2932	15803790:2932	15803790:2932	15803790:2932	15803790	211,212,213,214,215,216,217,218	2932	RESIDUAL_M218
1043567	2402	1053585	72480	5008	1050450	-2640	210	15801870:1230	15803775:3135	15803775:3135	15803775:3135	15803775:3135	15803775:3135	15803775:3135	15803775:3135	15803775:3135	15803775	211,212,213,214,215,216,217,218	3135	RESIDUAL_M218
1043568	2401	1053584	72479	5007	1050246	-2626	210	15801646:1224	15803760:3338	15803760:3338	15803760:3338	15803760:3338	15803760:3338	15803760:3338	15803760:3338	15803760:3338	15803760	211,212,213,214,215,216,217,218	3338	RESIDUAL_M218
1043569	2400	1053583	72478	5006	1050042	-2612	210	15801422:1218	15803745:3541	15803745:3541	15803745:3541	15803745:3541	15803745:3541	15803745:3541	15803745:3541	15803745:3541	15803745	211,212,213,214,215,216,217,218	3541	RESIDUAL_M218
1043570	2399	1053582	72477	5005	1049838	-2598	210	15801198:1212	15803730:3744	15803730:3744	15803730:3744	15803730:3744	15803730:3744	15803730:3744	15803730:3744	15803730:3744	15803730	211,212,213,214,215,216,217,218	3744	RESIDUAL_M218
1043571	2398	1053581	72476	5004	1049634	-2584	210	15800974:1206	15803715:3947	15803715:3947	15803715:3947	15803715:3947	15803715:3947	15803715:3947	15803715:3947	15803715:3947	15803715	211,212,213,214,215,216,217,218	3947	RESIDUAL_M218
1043572	2397	1053580	72475	5003	1049430	-2570	210	15800750:1200	15803700:4150	15803700:4150	15803700:4150	15803700:4150	15803700:4150	15803700:4150	15803700:4150	15803700:4150	15803700	211,212,213,214,215,216,217,218	4150	RESIDUAL_M218
1043573	2396	1053579	72474	5002	1049226	-2556	210	15800526:1194	15803685:4353	15803685:4353	15803685:4353	15803685:4353	15803685:4353	15803685:4353	15803685:4353	15803685:4353	15803685	211,212,213,214,215,216,217,218	4353	RESIDUAL_M218
1043574	2395	1053578	72473	5001	1049022	-2542	210	15800302:1188	15803670:4556	15803670:4556	15803670:4556	15803670:4556	15803670:4556	15803670:4556	15803670:4556	15803670:4556	15803670	211,212,213,214,215,216,217,218	4556	RESIDUAL_M218
1043575	2394	1053577	72472	5000	1048818	-2528	210	15800078:1182	15803655:4759	15803655:4759	15803655:4759	15803655:4759	15803655:4759	15803655:4759	15803655:4759	15803655:4759	15803655	211,212,213,214,215,216,217,218	4759	RESIDUAL_M218
1043576	2393	1053576	72471	4999	1048614	-2514	210	15799854:1176	15803640:4962	15803640:4962	15803640:4962	15803640:4962	15803640:4962	15803640:4962	15803640:4962	15803640:4962	15803640	211,212,213,214,215,216,217,218	4962	RESIDUAL_M218
